video_name,clip_num,class
v_W0RYvQUUNe0,34,84
v_w6ofRgXA0xc,372,40
v_w8lqIgJn09Y,229,76
v_LMxfRVcBrD8,700,56
v_EwzkySgI6CQ,486,57
v_mTtBz5d83C4,62,182
v_wz_kM0oBW5g,135,122
v_VBY8feOQgy4,595,130
v_bDkSq9T55RI,149,124
v_4zFiORtQrlA,397,49
v_tuhHQ-lHIs4,357,46
v_ql7I6qtyhBU,702,122
v_PpbBWqlsbxk,462,167
v_P2H4fTMMHNE,336,9
v_drfE5oASHaU,752,35
v_WJ4tCIdAgVo,165,139
v__j5JUQzOCtc,404,6
v_3Y46yorcd5Q,875,186
v_MYzG-TsW8w8,180,132
v_-JqLjPz-07E,694,68
v_PziLzNjG2bI,77,64
v_j_ImkPKoA-U,85,94
v_xBtydVn3MVI,651,60
v_p4RUPQAV0ro,126,10
v_HQdnIIRVqEk,1076,173
v_PyM_VG5KFa4,348,160
v_CrCtYGvG9Uw,296,68
v_IN8-B39kq_k,248,57
v_OMGTFZ9csg0,92,197
v_9g1omTdpoYs,389,149
v_UomiLRs--C8,199,198
v_cwhkG3LhZO8,625,92
v_dojDT4CtenU,239,8
v_b8S0HFHh_p0,701,41
v_HdNOiIdGqvE,212,50
v_f7qFnCkFIuQ,127,153
v_dUa0E0ASviM,343,192
v_CLbEvGHmK8k,654,79
v_07GFy_Z7Nuc,223,11
v_nyEcPLZQerc,322,176
v_yfeKtTU0aOE,121,194
v_NKNgAE07TIQ,632,88
v_l5xW6UZWwBs,327,179
v_XoCvj2IbVGE,691,9
v_xIU6DO35R_c,99,77
v_8oI4xGqkzSE,763,125
v_qi_6u0mMJQM,643,143
v_9eqfQyr3J7k,93,182
v_23-lat1nVJg,30,146
v_Ffi7vDa3C2I,624,173
v_dmiLuqRB09U,211,72
v_KGIDKn3t2Qk,704,88
v_WhEdTfs7U5E,531,157
v_0-F3q8Aj9Zk,775,64
v_9rW35YTKYq8,708,82
v_NwfosNrFnwk,397,24
v_jwqotL-yNvE,502,42
v_cCYLiE1fiEo,634,166
v_ns8v94HCtlM,266,135
v_r9AepFEEfsQ,221,98
v_zW_8T8w7304,746,152
v_poFH53rF9uY,489,141
v_Ch_qHjUtOpE,81,34
v_0acEl97ZBME,383,67
v_Uo9q4riquHM,383,123
v_-5h2E52tl4Q,356,119
v_-HaFSqzE4Nc,199,59
v_Hxb8D4W-G0I,580,148
v_a0hFDXB1RgY,425,94
v_8cKjwHtCGU0,304,93
v_PQ-qpoPeqM0,571,49
v_0rDb-zfhH0E,751,17
v_SvM0twHYsus,66,9
v_qS7TStZg_5c,20,92
v_slUvIngXl4g,265,185
v_YptHsVTHquc,637,140
v_bV_X5E1-T50,326,67
v_3K62qZ2hGyw,480,89
v_jIKAVLlyXIQ,50,21
v_6iuD3pSgBcw,1558,160
v_l8TsSm4Yh4M,510,35
v_1dFLeGRT0NQ,566,140
v_wkJWeSw8FSE,77,40
v_mbmMY04yMUA,504,71
v_J4vq7MLMAtY,559,189
v_JGStyHrlN2U,124,4
v_WaWkDf6b_j4,254,64
v_XuwqWdp-u2M,128,139
v_WXQol1TisqE,225,113
v_cMeKc9mp9wI,201,4
v_7hRls13HJow,412,152
v_R52e9UAE60k,289,51
v_0FTaJwbFdZI,634,89
v_STgbw-zqZJM,54,108
v_2gc7pCOg-NE,581,63
v_UAgb3FEjBN8,876,87
v_uOmCwWVJnLQ,386,61
v_ki2kGFwczMg,261,24
v_MEbEcvzdytY,650,129
v_hQ4xkr6VpnA,296,110
v_30y8Uy0B_uk,516,58
v_1Cdqwg7Giv4,696,13
v_7Lkcan0X5VA,456,20
v_r8RJSDKy9iA,325,165
v_zDPsJ3ECaTI,828,1
v_YJ4ynq5Adg0,451,167
v_qm1dudWLlUg,112,32
v_F2Igw6lvqwk,146,166
v_wxoe1M2L4Qo,647,177
v_eAOBdYKju70,638,51
v_Bhz-WgJH8R0,130,180
v_bkRQgwbP0WM,106,163
v_bx5ZHOUG-nI,223,80
v_e5e16U5hnzY,565,13
v_4rKTw99bM8g,34,94
v_kqVIHq94kgs,287,43
v_KptXzRFIvTw,539,124
v_axoyB4pypWY,518,125
v_a50gTER-FsQ,790,122
v_fGDVlbI90pw,21,28
v_qcYRPEEitZU,141,66
v_zpJ91CkCiyw,405,173
v_ILgkiTHnGVI,224,97
v_wjD2BdbSb1o,341,153
v_KKrHX-pywBQ,723,148
v_y-HkIwa-jWM,50,95
v_GuzLtwhxsxA,419,115
v_72F30o9V8v0,760,51
v_M1_4oDuh2as,110,36
v_gtd2Ye-raxE,211,23
v_b5E7-GxvCdk,69,123
v_xFqGY-y4OUg,698,162
v_lhnhGI-rrzM,675,148
v_HNIs8lFvKkA,826,26
v_A6DBt7UgWEg,779,99
v_9lX18LyTuAQ,767,82
v_ihMn28mft2s,470,27
v_QvM8SFUUvsw,104,163
v_qRFZMO_mTGU,428,14
v_exzuzQLrv7g,735,130
v_3HBAcaU552I,463,134
v_wOwWidUOaxc,273,185
v_kMYZWwZXx3E,224,153
v_rFx-j3NhSgI,173,104
v_BC1ZIeZvFXw,878,148
v_dfex2oZYqmU,300,133
v_ikHGZpkhfNc,796,148
v_v1FHFQ1UZHw,491,137
v_6iA4RXGAR_k,238,3
v_YU0DjX7wvRA,429,120
v_xfyoEDb6kVg,489,93
v_UO9bRJmfMzI,806,169
v_clUgEizjVkM,70,161
v_cz20Wqx9d4Q,559,100
v_95L-8JtlwRU,471,31
v_hJn5L1nrkL4,263,26
v_aFpWNTroghs,347,184
v_xAI1y9izXOM,152,100
v_hhN1647pP88,486,156
v_tjuYS-6UC_M,626,139
v_WY9zvUkK_4Y,762,110
v_CUtkQIV2eto,773,196
v_ZoKZTceDTLA,617,147
v_Sn8IRyUFNac,137,67
v_QJmoA3byOzo,709,136
v_UD4RnQp5tPY,824,66
v_mOVPZhGyUrs,252,26
v_vOpFUVofoM4,260,0
v_-wFNUGYf298,698,2
v_xeOHoiH-dmo,696,131
v_HtZ0bvriAvQ,119,54
v_3xmgPNrmUYM,209,6
v_eaFvnf8IF-I,248,98
v__ekWWP0dQZM,545,78
v_YAbfhT3fhac,279,34
v_9nh_6Hzg_aw,720,36
v_d8MgSp3oCoA,260,185
v_mnS-nMZne3I,33,62
v_x4qwV0Ti1Og,214,182
v_AXDa8WmY2og,856,135
v_5LveCNjz_zg,603,120
v_F-jZv4hqYds,139,113
v_79LyHiS908U,262,159
v_p4YTDxTASBI,124,115
v_2uMG44uNDJ8,24,136
v_TQepyWudKYQ,117,8
v_SMhW9V-cJsQ,101,198
v_nr34x_-K5c0,578,94
v_8M_RipfsJI8,116,80
v_LLLuBjEVHI8,83,44
v_1GXQLnTalcg,410,37
v_yNmV_c3rlLA,288,159
v_iL__89eDRzg,132,196
v_pZzTMUJG9Rk,639,133
v_h4m7bYDVLAc,91,139
v_KEUJ7ulD-_A,717,102
v_xfThpRE6bLc,621,186
v_Mk9n7isIyBs,424,104
v_3xEonDbWxTM,404,137
v_loYCYGQpGRw,630,56
v_wZgSzWl5Hgg,193,192
v_FL9yhHtoc6c,825,1
v_V1NtrnPz3sA,245,48
v_r5oPTDuHhoE,153,14
v_KwY8nf4MqR4,125,39
v_Q43BuVI2r-s,312,143
v_S2MHi_oC3Lg,677,47
v_CYj2ltxPNDo,711,11
v_NO5J7RjTTTo,53,189
v_modITAJlP_0,260,129
v_H8K1E49607E,361,160
v_FeXBmKYV8HY,599,82
v_tRatWgaZ-a0,81,30
v_vNyXwHA_k5A,1108,160
v_UeH0TCDAbSU,519,9
v_4XavNhCs-Do,400,181
v_0vJfctL116Y,442,16
v_EsYsshh2CyA,256,88
v_zSCZphJS2vA,301,76
v_8yFimnZ8XhA,223,171
v_u3nOmvgcs84,647,29
v_9DIDpTlfBWs,507,151
v_CsCbJSnAhRs,324,103
v_0gm_g4rYCic,447,167
v_0A-p1Q0rseE,382,88
v_ZdwkA72VMKE,56,122
v_1qi8ZXUH_wY,307,53
v_YAWoigyJ9sA,32,0
v_dcclQadR-L0,143,4
v_4q7LmVSgIPk,760,49
v_TssNxg5XJ-o,348,142
v_gh5di42-RJo,465,160
v_fsSCNCY0iQY,197,5
v_2WzsyEvhPPI,834,53
v_yRup8RDsCzk,559,116
v_h-_dzZ3cCfc,509,69
v_8381XS5ZDNs,213,25
v_mzxz0EQy1pY,732,94
v_v7o9uSu9AVI,758,11
v_5Qav3tLfiZA,23,145
v__nup1BwPnXc,398,192
v_64oq7grVNVs,355,68
v_rhfoyYzp93Q,250,115
v_bzZMUbtgZho,684,186
v_YuCMWTdK_DY,111,13
v_EML3BvJxknA,434,196
v_SIX51vtOOek,338,123
v_yCAsVc5Tb_0,609,34
v_QdmUojrWdmE,713,186
v_sgwg1C3i-Vw,368,115
v_AdXXy6WTVi0,859,84
v_QePg4GKh3rw,203,61
v_AV8q7nnOtq4,258,160
v_c6ie4KwFnAs,672,133
v_Zzcj8Eea3Mc,314,129
v__ENXbB6aaa4,509,148
v_PDEUAMa8aOU,390,68
v_hpU50i4WBK8,863,177
v_oNN6NE8fq0U,611,98
v_GBTpVjwLxe0,85,94
v_Mvw0hvMeM-w,674,102
v_Pyf_5Bffu5A,618,105
v_uqzy1FAUpPM,175,42
v_TiiSh9R89vM,784,182
v_88qqQjRPFUQ,230,132
v_arfBwR8qgPw,18,64
v_L6Uf3epn3zA,701,115
v_0xtS7g7vZLU,542,179
v_nuEK3POl9jA,148,10
v_66BGqvwHbUw,89,92
v_jaaWdcA_COY,505,140
v_5JkN8t5k0jU,154,10
v_TlDkQ8SNG64,95,114
v_exPOJAoyG7Q,330,96
v_iEGYd3DJ3Wo,64,161
v_faF9-lWmK3Y,267,80
v_RNqJj9tt3F0,803,161
v_PVAHm5MjHdw,646,104
v_FGtoyNOi6gg,392,41
v_cRpzDPS6zeY,308,70
v_LXHc1X1pKEM,753,66
v_VOGF4tBFEuw,111,123
v_KOFXi1RYx_g,245,4
v_JI5_cMwgnxI,450,191
v_F_DHgp5hERs,415,194
v_uA3dbKjT9rM,519,72
v_FCzT4Knfhqs,266,139
v_WmPkqkqAxyc,146,123
v_tl3wQEusmj8,400,115
v_VeU_EBE-YPE,539,92
v_kdQfR6oqJ_M,248,4
v_7Ozl-ud1zTo,579,186
v_nSR-JSqGoWQ,535,105
v_ZlHaPkhGr_g,720,18
v_Cdmd9VB8tJI,175,12
v_YmhbwAv0Xbc,469,182
v_YIYZHQUOtnA,367,109
v_q2TF-3bWZuU,418,51
v_3cmHM1Yu92s,281,129
v_O9crPOB_9tE,851,186
v_ucR3VztMyeE,113,193
v_z6GHmDSskgY,591,79
v_rScqKu8Mwhk,171,45
v_b1RAYvxWawA,680,115
v_eQnwUWfah9w,524,133
v_lM3uGxHWZBA,447,8
v_KEU4Sj6x1p4,685,42
v_6d9z33GFEGo,620,56
v_O0nOzufJ_OM,677,13
v_NOXPH0_y4Ww,781,150
v_RoAtTRjWKEg,24,54
v_KpOSIph2hHw,233,171
v_wohWWAB47KM,830,195
v_USaP2UCPBEc,545,128
v_8w9pf_Ecm_U,373,104
v_G72bQBMZmzs,738,185
v_PLvg8riZZVw,594,142
v_NwfS7eZiMLg,503,33
v_Hcoc9euI0tk,517,180
v_oT42qP2zIXo,580,178
v_SXRSA62VbZg,739,57
v_KoP6ZgL6fMY,645,7
v_wsmMniNThlI,526,51
v_JyjONoyBr4Q,644,125
v_dEUFGAwRhEM,798,115
v_dSOVaLk3ZmU,29,94
v_LChqFAESyCg,526,5
v_ZT63nK4lexg,347,11
v_JKFxKhCQPUs,170,23
v_I7Sole68Gag,360,30
v_JLipYEVwKTg,105,59
v_4mfnfTpcfck,250,128
v_v0mUPr68x2U,763,187
v_Gl8HTsP7Jfk,560,69
v_owLQzBg4olo,112,146
v_Cx6oTdEq40w,161,58
v_9GP266ETAuE,452,76
v_LSCQ1yqocHg,72,50
v_w8rTULZCkzk,692,31
v_BD_ON66t6rM,68,115
v_xH7qxBIz-tU,594,97
v_MOOeHWuuxlo,184,129
v_XHQLkc06XIc,708,82
v_PgS2F7NxNBg,546,153
v_1_YFTTzzLrI,106,163
v_kzeKQBi6Rhg,697,82
v_LTmYxVYBa90,105,114
v_6LOfAoP4Mg8,331,137
v_e0E2EVuhYu0,631,177
v_pULb9WvZwU4,441,41
v_YJTz7mpI-mY,176,60
v_mz2-lgoNz1M,536,57
v_ZGSi-QAkf5A,368,8
v_We0DJIKCBOw,91,10
v_6aHGUTy1iho,305,24
v_vNzTWjEFr-Y,258,92
v_1oaJBEdY6ao,145,74
v_nt9tMdFVQ1c,54,157
v_my4UPLGI6w4,285,108
v_vbLxVuLLPek,224,33
v_zEdAxKm9SLA,457,191
v_-SYV9IB-36s,658,5
v_VuEy38XdUgA,370,179
v_3ZUy7h-dN38,713,92
v_nh1GBPeyyMo,510,53
v_xfVx1-emCV8,337,122
v_xE5KichXWrA,413,76
v_5yGj9JooT_Q,156,91
v_K4cNyYu2LLg,713,37
v_SBJWn8AjK-4,224,188
v_eAFFf5cSX5c,319,70
v_ZpwXqrCxcGg,187,156
v_R2izNBHhctM,265,120
v_P1Ve5WrfTb8,294,46
v__i_ERtwvcJE,117,106
v_QJm_B5Hx4DI,751,199
v_RmuhtC-TCck,659,83
v_xr0tV2KNqgI,367,112
v_8ErMpNsK3_c,122,193
v_b39hqdpOn7k,315,63
v_xootaiXcXZw,642,116
v_SY5WpDrtmEE,697,38
v_LHe5cTzHB3o,232,2
v_pf9u7M6vafU,71,146
v__B2kFN9MfwU,526,199
v_V4tqzi5uw9Y,31,123
v_61W153jXL3U,780,22
v_t8_XO-nWaYg,278,163
v_1MQkI4UafqE,297,96
v_Kq115s7yL3I,530,36
v_klqHoK_8ar8,467,153
v_7xLL5okHSIU,476,168
v_zlXs92vjuSU,822,72
v_2eep4G5Tgho,198,123
v_qyssgQ2xq2M,609,47
v_28P5f3p_32g,521,178
v_DIF8qouivIU,694,130
v_nhW0O7NC0GM,257,94
v_FRjVP5r9rqc,250,80
v_QLACTCzs0R0,175,192
v_kJrHvEECvEA,219,67
v_7lNAmkaMyyg,39,169
v_1p_HYu0EZAk,169,71
v_P0N68OQDhNs,853,7
v_QZi1yBFRZzc,380,191
v_VNROQWtYhlw,662,138
v_pAAGm-KEFW0,641,199
v_en6lOb4wRUU,450,67
v_iBpyYbLv1WU,351,92
v_0-ReTddxkhg,92,134
v__I8sqYLhRKM,119,168
v_mfK2jcMGe1Y,154,28
v_BgsxbT9RCeg,731,78
v_3I6LMFdA2lc,322,28
v_40Sf-iICgzw,138,159
v_7rf06_5zNJk,710,89
v_5Z5DAI4Grb0,520,73
v_B2HIj_QWaG0,338,82
v_D_xht_r3n54,80,169
v_1v5HE_Nm99g,338,185
v_oYmE833AO2w,555,156
v_2LzWCwYtUzs,205,155
v_0ERgbWePjWk,14,62
v_Vq0-j_C-kZc,622,112
v_5j6j4NJkUXA,252,23
v_dcmfRooP6dg,741,73
v_pPsqB3tY7hk,369,179
v_XxyTLG8B-Ns,538,170
v_RbbjYXAxaPI,416,89
v_insSTTMSC38,664,129
v_lS_bztQjpGM,601,90
v_N7ppHQNikv8,246,111
v_HYYQ56oZSDM,668,3
v_gRqvh21b8Hw,584,81
v_JAZu9CWEVbQ,748,186
v_mZxvYV53uf0,844,70
v_33SI8z8PovA,425,22
v_Y53B2WdEbAg,46,16
v_bXrdB5AASAM,558,116
v_N1-TZnH0jy4,55,138
v_OYPyiUC4h68,507,171
v_G1aYtrFJqUc,520,152
v_p8uTRV3u3JM,296,27
v_8nj8tlvLyUo,570,111
v_uUzmPV8Vgqg,433,12
v_G5gvb71BB5I,623,105
v_NURIoQoKk1E,599,107
v_SHfFrzy_fKM,292,114
v_IuY073Pr4E4,157,193
v_y4Y8gD1mpTw,586,47
v_9fnmcyUz5jg,280,94
v_uINj6L2EEUs,625,21
v_0UR4hXxt68E,622,34
v_QhDPo3amF6o,340,170
v_8kGiDHAnTqY,520,132
v_JhoGvKrhs8s,360,33
v_DYahQgHG1Gk,421,160
v_MBouLt-hXDU,730,149
v_qfCqVXhNPE8,816,90
v_PeMJjLrDjhQ,591,50
v_IkjulgI7gzg,445,6
v_8fLHaW3YvJY,800,55
v_i5kuZ8zlhMg,759,30
v_RRFC2NrZSf4,196,159
v_djQnCU5MNJg,29,188
v_wr_1p7obP-g,681,147
v_P49Ci0Ph8eU,203,11
v_EhxFw5Eb1VE,208,11
v_UpnFBPGFgnw,380,118
v_BB2vrBWgXkU,735,47
v_Zev1KxIua7o,525,128
v_4j7_nh61bvo,415,185
v_dB4SbhaQQV8,82,95
v__CYdiU1sMwc,88,108
v_jmPV_y8YntQ,501,175
v_vSAHWgFjQAY,591,70
v_vr0Wi359kWM,516,31
v_YnvefOl6a7k,543,124
v_krUhklOpyQU,276,17
v_M_OPqcaCDYI,593,167
v_TsPh4-BsCYk,502,76
v_c-aDlEaZmFk,219,61
v_xVQkf_TrX7U,521,29
v_qK2iRSxxRQU,884,89
v_8YTuNZ-mIaY,842,35
v_5-ydqbn30kA,48,146
v_XkOO6lc5vxw,209,191
v_QvBG_Da97h8,216,136
v_Tv3v-UpBJ2Y,445,192
v_5Ra6milBrOM,878,172
v_RWjCwIOuzrc,646,137
v_6uNhwOSZXco,604,182
v_fO2fWjYEhMc,96,121
v_XxbuqeqOGaM,268,178
v_M1hPI8WvySo,836,53
v_DCCD1fufXfY,194,32
v_Z9gstJONME4,130,127
v_AG2g8djPKV0,164,80
v_DyVqsDJYXdM,661,8
v_61sN9tqZHwk,254,135
v_erXZ0pZEtGE,189,164
v_E4ItlgO16LI,265,11
v_DozJpP2cClI,443,99
v_E33xUgVqEH0,120,119
v_DbF6oI705UA,269,34
v_ICzctKJ6nqc,782,140
v_DAd-joUpMIk,299,41
v_RIaNmXzBQnE,630,138
v_aQHGZzqZLxs,449,40
v_SIj-ti_70HQ,67,28
v_b7_ok8iTlT8,624,16
v_ykcLgz3DlYg,497,149
v_2Ua6E2a6kT4,165,153
v_apPeChgjzs4,95,159
v_awag66wjX4k,602,101
v_Lbdp-HCjWw8,272,63
v_yEFS8M4pgMU,604,192
v_1JEQbXJC85w,838,16
v_9ddD5Ob93J0,419,118
v_r96PJ548pn8,534,127
v_D9EQ6jCH0_M,786,154
v__mupI51ie9A,257,93
v_hCFCYe_Jp-k,369,104
v_F1-PnXa9SwQ,122,123
v_uRBE-ANigvs,306,13
v_nGOEmEDesPI,623,183
v_q53Ajkll_kw,310,33
v_WnLYDJ8Jwv8,501,22
v_mDqiAEB4Ads,696,147
v_61iCOJ3Meus,25,126
v_OJJMEEsOdPQ,44,61
v_mi_zRluISrE,617,147
v_-2dxp-mv2zo,472,103
v_9ntzCNcFTKM,345,17
v_qX7UMKN6ygM,327,105
v_F4eF_nO2UFs,1609,101
v_sWEbq5Ry63Q,875,49
v_ZOczr9WCVig,845,147
v_Gg8Ha8OPtZ0,78,109
v_6EKVtCJ2nrs,192,41
v_ZJCbT3300OA,933,182
v_NbdAUGbrWrE,276,28
v_rhDxMg72ofo,803,107
v_sN1MPx9hb1I,136,146
v_79gvzh0wn0Q,282,17
v_18QVPZgjy8w,494,99
v_kTStFRAp99E,8,66
v_r3dM-5cZ7e8,208,187
v_v1Iv-ySc2LM,95,152
v_vlwOSDuiKQA,755,93
v_PMDpnLURLp8,340,19
v_ODx-nocNBos,652,185
v_MXN34b2OUjQ,91,14
v_RX8YG2zlyUo,318,51
v_H5Z__A99EG4,220,59
v_n0Th8ZqMeGk,803,183
v_lIXHKxbq59c,266,182
v_xwSeXFkTNlE,505,23
v_UojTppgtyCE,512,191
v_Ck0IhZZI5CA,301,153
v_cYLIJC6QjQA,738,181
v_ACki-MP9qdQ,302,88
v_F6FyJl5OQ0A,684,195
v_Paus1tL8KjE,1490,196
v_LoA7h0bZmDI,587,56
v_OtcRXishIxw,313,139
v_Mkljhl3D9-Q,461,56
v_KHOTebb8UC8,553,129
v_yrCBN0tYjPE,193,11
v_fVzpG-QQ1n8,673,120
v_4o4Vh49v-q4,333,134
v_xZOzVaTezm8,302,182
v_dZMMhVx7yY4,612,172
v_rZmNsUX-7SU,59,188
v_c1T9LbXOVUs,389,172
v_KPv8ZGrb78Y,626,1
v_QBy64z68s0w,362,54
v_pD-zyfLtC6w,347,87
v_vr7iD3pjmSU,295,91
v_AFnEr0_wStU,561,72
v_VbhCWRXsEHQ,550,103
v_90LkAH4tZC4,220,160
v_bRVazNYfpGE,353,54
v_cC1nvRqyXWs,22,9
v_ILARi15rMWI,165,164
v_n9xULD7oYXc,129,146
v_pleP5-tuJ_Q,533,146
v_SHZ9fsusMGc,199,163
v_yaWwad6WXVY,720,44
v_R_HDifqMHSY,604,160
v_YZacstLO0XA,405,151
v_xYW64moSLKg,448,187
v_gf3JIm2C59g,386,70
v_xXGc5_0_2QI,156,113
v_on2DKKcvWhE,799,152
v_U_qCCwgS0OM,599,152
v_UEtVbSLGhfY,30,75
v_a_sm5Hv7HNw,445,58
v_Ox16PeB954Q,138,59
v_tnavaGow7BI,16,16
v_qfb0Qe7s9oo,579,150
v_2Mj26IwwEiY,789,137
v_FMlWHXByLL0,258,175
v_Tz5eN8gV6F4,609,135
v_lwo7fssfLiw,250,194
v_J8WxSDLZwu0,85,141
v_ZjbBmS8Q8kM,505,162
v_c5Io6wg8D60,127,42
v_aQQr1ad0v1I,706,87
v_X74SOIQRD4M,29,69
