video,numFrame,seconds,fps,rfps,subset,featureFrame
v_0YQPGAsZPgY,4980,166.09,30.0,29.91149,training,4968
v_5Bo0gFXxDQk,507,17.00,29.8,29.17647,training,496
v_hmT9H0IjiGs,12929,215.55,60.0,59.93969,training,12920
v_97McCuWAynA,3813,127.32,29.9,29.84606,training,3800
v_WEohpavjsIY,3267,136.37,24.0,23.87622,training,3256
v_IGcsVPa34Hc,6429,214.44,30.0,29.91979,training,6416
v_qogdv5DWzkQ,6632,221.40,30.0,29.88257,training,6616
v_gSeE_Ms-2TI,4742,158.31,30.0,29.86545,training,4728
v_1PTNnaEu8xo,4879,163.42,29.9,29.76380,training,4864
v_rhOtqArO-3Y,6928,231.25,30.0,29.88973,training,6912
v_xr64cSwpNOM,2475,82.66,29.9,29.80886,training,2464
v_xi4puZ1ulP4,5425,226.21,24.0,23.94235,training,5416
v_x99PS_O6JW8,1168,117.08,10.0,9.83943,training,1152
v_D_XMD02v690,5827,194.51,30.0,29.90078,training,5816
v_lVMMPkvnid8,4736,158.18,29.9,29.83942,training,4720
v_qJYp25ni6tg,5792,193.19,30.0,29.89803,training,5776
v_mQHY2uMOMP4,3457,115.47,29.9,29.86057,training,3448
v_a2vaM_aRHv4,5308,177.26,29.9,29.87702,training,5296
v_XnctHnlJB4g,507,17.04,29.8,29.10798,training,496
v_5DhbyYavYp4,7033,234.52,30.0,29.95054,training,7024
v_YUFPWt0VQ1Y,2219,88.91,25.0,24.83410,training,2208
v_yVsOoFr61x4,717,24.08,29.8,29.23588,training,704
v_WMdeqUyHWSo,3252,130.17,25.0,24.89053,training,3240
v_5iQsKA84vWo,4661,155.64,29.9,29.86379,training,4648
v_G9ZEi6eRhi0,3973,132.89,29.9,29.79908,training,3960
v_lpeyMIH1YqA,615,24.78,24.8,24.21308,training,600
v_zp86ztwZEKk,2647,88.42,29.9,29.76702,training,2632
v_br8Ao_UBEZA,1234,82.48,15.0,14.83996,training,1224
v_buhaBimF4M0,6282,209.63,30.0,29.91938,training,6272
v_LcmTBkWvV74,2705,180.40,15.0,14.94457,training,2696
v_KaGGtAhiH64,6382,213.11,29.9,29.88128,training,6368
v_0bosp4-pyTM,3463,115.64,29.9,29.81667,training,3448
v_IgEc5mY9L44,2744,91.67,29.9,29.75892,training,2728
v_amCD-2TIKw0,2975,124.18,24.0,23.83637,training,2960
v_0MtST08F2Xc,551,36.85,15.0,14.54545,training,536
v_WUOiJOqrHlI,4384,175.52,25.0,24.88605,training,4368
v_V90aT-d_FKo,1943,77.83,25.0,24.77194,training,1928
v_I4wkBjpwAAU,2790,93.14,30.0,29.80460,training,2776
v_M9uQCTr2-r0,4612,184.58,25.0,24.92144,training,4600
v_Jifw8dC5yTM,3749,150.09,25.0,24.89173,training,3736
v_5o9iv0wC59g,679,45.40,15.0,14.62555,training,664
v_4S5ethZhgqs,507,17.00,29.8,29.17647,training,496
v_Ci9WKE6wkOQ,4652,155.16,30.0,29.90461,training,4640
v_IlD4gfHmWIg,2805,93.69,29.9,29.80041,training,2792
v_Z4OyG8ZzUpg,5285,176.36,30.0,29.89340,training,5272
v_F_EHrfbYsRE,5443,226.88,24.0,23.94217,training,5432
v_1FMjfLRpXwM,4254,142.04,29.9,29.85075,training,4240
v_yxSBQXuOwuc,4316,144.01,30.0,29.88681,training,4304
v_C0F-xroK_Eg,6152,205.36,30.0,29.87924,training,6136
v_adz3kDJLCF4,1030,68.85,15.0,14.75672,training,1016
v_ZEgmWaMa9PU,6875,229.47,30.0,29.91241,training,6864
v_1BfYAuxv6Wk,1900,63.58,29.9,29.69487,training,1888
v_kcB7HQPxzDM,1924,77.18,24.9,24.77326,training,1912
v_Iuk7PNmG3tQ,3445,115.03,29.9,29.83570,training,3432
v_3C4Nry679BA,344,14.49,23.7,22.63630,training,328
v_JnYteBN2LDI,1827,61.09,29.9,29.72663,training,1816
v_VCldTcZi0aE,2697,92.44,29.2,29.07832,training,2688
v_K8G5CBJtluY,1378,69.68,19.8,19.63261,training,1368
v_srXhWAGzd-s,5454,218.27,25.0,24.92326,training,5440
v_b5GrYqt5tRQ,2376,164.10,14.5,14.38147,training,2360
v_jCVi9xt3GUY,1010,40.59,24.9,24.63661,training,1000
v_CHkT4As5jZI,1595,66.60,23.9,23.78378,training,1584
v_jgNeMnPVfkQ,1763,70.61,25.0,24.81235,training,1752
v_8qAdvUvNuts,3001,120.19,25.0,24.89392,training,2992
v_MbCAiWBhAjo,4054,135.35,30.0,29.84854,training,4040
v_r2oMItb5EVM,3272,109.16,30.0,29.82778,training,3256
v_zDBpa2miW8A,1514,52.38,28.9,28.71325,training,1504
v_gF14lRI0HUM,570,19.13,29.8,29.27339,training,560
v_7tdlcmbuLOA,6117,204.22,30.0,29.88934,training,6104
v_E7NTSqMgx44,562,18.86,29.8,29.26829,training,552
v_0J55EGFLglQ,591,19.85,29.8,29.01763,training,576
v_NiaE7amNW7s,4745,189.89,25.0,24.94076,training,4736
v_KvscV2XxyTE,3089,103.19,29.9,29.84785,training,3080
v_zlXvqnBqVvI,673,22.64,29.7,29.32862,training,664
v_R0sADQPdso8,2738,114.34,23.9,23.85867,training,2728
v_3l7quTy4c2s,5212,174.29,29.9,29.83533,training,5200
v_hjsu3SGAdLs,3282,131.38,25.0,24.90486,training,3272
v_dAa10hlgxCY,6842,228.39,30.0,29.91374,training,6832
v_UxlDSfC7S-0,4682,156.34,29.9,29.88359,training,4672
v_pOyP_kDaskY,2949,197.07,15.0,14.89826,training,2936
v_mvQxhjjVWOk,5287,176.50,30.0,29.86969,training,5272
v_WBkqGBFsdgI,3017,121.23,24.9,24.81234,training,3008
v_fN2DiOswmOA,5555,185.48,29.9,29.89002,training,5544
v_oOu5vC3EB5E,1945,65.13,29.9,29.72517,training,1936
v_jmmOBfS3JIg,3145,105.07,29.9,29.84677,training,3136
v_UA_RDwuO47s,1810,72.54,25.0,24.81390,training,1800
v_fxlTN3mCWDA,5094,169.90,30.0,29.89994,training,5080
v_FOF8YgUhRNA,2042,68.27,29.9,29.76417,training,2032
v_TxxUmibEy9Q,4534,189.24,24.0,23.88501,training,4520
v_0UcBldDI0RA,4689,156.57,29.9,29.89078,training,4680
v_SID0y9y6Uk4,4194,140.18,29.9,29.84734,training,4184
v_J65l9OEP3pI,3550,120.16,29.5,29.42743,training,3536
v_dWBnXy2nauU,754,30.30,24.9,24.55446,training,744
v_sFKOnFMJF2Q,3572,119.28,29.9,29.84574,training,3560
v_uPqh5uA1mhA,2951,118.14,25.0,24.85187,training,2936
v_h5fX5z-unJc,652,21.85,29.8,29.29062,training,640
v_8l7SuE4_lCk,407,13.70,29.7,28.61314,training,392
v_BbQ39yhaC54,2990,99.87,29.9,29.79874,training,2976
v_5TV-V6Cxero,4265,142.41,29.9,29.88554,training,4256
v_Yojuicji624,4402,146.98,29.9,29.88162,training,4392
v_lGwUq5vZGEk,7091,236.45,30.0,29.94291,training,7080
v_Yp-NJgTAOCc,3913,156.67,25.0,24.91862,training,3904
v_R4ouBBtg-B4,3029,121.30,25.0,24.86397,training,3016
v_G16xScfD5WM,2486,103.75,24.0,23.82651,training,2472
v_U6M5hbiHn5Q,1766,70.78,25.0,24.75276,training,1752
v_SpwOzrXw9JU,5083,169.69,30.0,29.88980,training,5072
v_WltsIClflnA,1032,68.87,15.0,14.75243,training,1016
v_yxZ4ouqcld4,3430,137.30,25.0,24.87983,training,3416
v_VcbMGRcN9Cc,1745,58.35,29.9,29.75150,training,1736
v_hMUoeOFmquI,3231,107.90,29.9,29.80538,training,3216
v_bLqd98mmu3w,2833,94.64,29.9,29.83939,training,2824
v_uO9qoK8zGQc,4734,189.50,25.0,24.90765,training,4720
v_UCOn2HkJJt8,5546,185.16,30.0,29.89847,training,5536
v_-b2lkhdJXf4,3223,107.67,29.9,29.79474,training,3208
v_Ptw9hFDV4ow,3107,103.70,30.0,29.85535,training,3096
v_7XGimCWcafc,6690,223.35,30.0,29.90822,training,6680
v_xYuqZ_RrCC0,3065,102.40,29.9,29.84375,training,3056
v_EY4YIa-kNgs,5983,201.78,29.7,29.57677,training,5968
v_C5KcdwGSvbw,3266,109.16,29.9,29.82778,training,3256
v_CtA4VynDEkI,717,24.03,29.8,29.29671,training,704
v_YcDlkZkPb6g,6234,208.14,30.0,29.90295,training,6224
v_e0Qj2F3V6fM,6429,214.62,30.0,29.89470,training,6416
v_s9Q8SZbixV4,7034,234.85,30.0,29.90845,training,7024
v_EcQ7DcVefdw,3786,151.58,25.0,24.91094,training,3776
v_zwx1Kig4nXg,5552,185.16,30.0,29.89847,training,5536
v_1G3rv9ssDY4,3167,105.77,29.9,29.80051,training,3152
v_RztM-NVwV5o,5883,235.43,25.0,24.94160,training,5872
v_KRfdZgxLZPY,8621,143.92,59.9,59.81101,training,8608
v_MYRsm8m9mk4,3528,141.25,25.0,24.86372,training,3512
v_LAkaYds-8X0,2843,118.68,24.0,23.86249,training,2832
v_GTxmHim5JnY,449,15.14,29.7,29.06209,training,440
v_E-6XZrDYRuM,6233,207.91,30.0,29.93603,training,6224
v_-XCESzrIWXA,5127,171.15,30.0,29.86854,training,5112
v_Po6tK3rYE8E,2668,106.95,24.9,24.83403,training,2656
v_wvewX55VADs,5202,216.90,24.0,23.93730,training,5192
v_352jrqIWSFY,214,7.75,27.6,25.80645,training,200
v_v_Vg4a8igc0,1095,36.73,29.8,29.40376,training,1080
v_FGAlwzRvAHg,4396,183.49,24.0,23.89231,training,4384
v_LG7p5JrgMfE,4030,161.33,25.0,24.89308,training,4016
v_plZs-3GtoOo,1868,65.20,28.7,28.46626,training,1856
v_DU36SNYN-rw,2756,110.39,25.0,24.85732,training,2744
v_55bimE5eU9E,3407,113.85,29.9,29.79359,training,3392
v_8d8juWOKb0c,3924,157.08,25.0,24.90451,training,3912
v_Jz9ZxenBLa8,2339,117.15,20.0,19.87196,training,2328
v_o2mqzjWJJNw,2176,72.70,29.9,29.71114,training,2160
v_unz00-r84NY,1487,49.67,29.9,29.63559,training,1472
v_IOoj4yWCoPg,2368,79.11,29.9,29.73075,training,2352
v_6gZuc4umTPk,6990,233.13,30.0,29.92322,training,6976
v_gnVupEzu59g,5792,193.38,30.0,29.86865,training,5776
v_8P0N5psQrEI,3302,110.18,30.0,29.84208,training,3288
v_qI_Bo0D6p7I,6636,221.29,30.0,29.93357,training,6624
v_qsTCTQo-wI8,5884,196.23,30.0,29.92407,training,5872
v_UBtVJ-w9O28,7074,236.17,30.0,29.91066,training,7064
v_NsYBZUTzgDw,989,33.07,29.9,29.51315,training,976
v_W0RYvQUUNe0,287,11.54,24.9,23.57019,training,272
v_w6ofRgXA0xc,2986,124.51,24.0,23.90169,training,2976
v_w8lqIgJn09Y,1847,61.70,29.9,29.69206,training,1832
v_LMxfRVcBrD8,5610,187.13,30.0,29.92572,training,5600
v_EwzkySgI6CQ,3902,130.57,29.9,29.77713,training,3888
v_mTtBz5d83C4,510,21.34,23.9,23.24274,training,496
v_wz_kM0oBW5g,1092,72.93,15.0,14.80872,training,1080
v_VBY8feOQgy4,4771,159.29,30.0,29.88260,training,4760
v_bDkSq9T55RI,1208,40.40,29.9,29.50495,training,1192
v_4zFiORtQrlA,3185,106.37,29.9,29.85804,training,3176
v_tuhHQ-lHIs4,2867,95.67,30.0,29.85262,training,2856
v_ql7I6qtyhBU,5625,187.78,30.0,29.90734,training,5616
v_PpbBWqlsbxk,3707,123.93,29.9,29.82329,training,3696
v_P2H4fTMMHNE,2699,90.26,29.9,29.78063,training,2688
v_drfE5oASHaU,6031,201.36,30.0,29.87684,training,6016
v_WJ4tCIdAgVo,1334,44.65,29.9,29.56327,training,1320
v__j5JUQzOCtc,3245,129.89,25.0,24.88259,training,3232
v_3Y46yorcd5Q,7011,234.03,30.0,29.91070,training,7000
v_MYzG-TsW8w8,1449,48.44,29.9,29.72750,training,1440
v_-JqLjPz-07E,5562,222.59,25.0,24.94272,training,5552
v_PziLzNjG2bI,630,21.11,29.8,29.18048,training,616
v_j_ImkPKoA-U,695,23.31,29.8,29.17203,training,680
v_xBtydVn3MVI,5221,174.13,30.0,29.90869,training,5208
v_p4RUPQAV0ro,1024,34.23,29.9,29.44785,training,1008
v_HQdnIIRVqEk,8619,143.90,59.9,59.81932,training,8608
v_PyM_VG5KFa4,2800,93.41,30.0,29.80409,training,2784
v_CrCtYGvG9Uw,2383,99.50,23.9,23.79899,training,2368
v_IN8-B39kq_k,2000,66.76,30.0,29.71839,training,1984
v_OMGTFZ9csg0,750,31.37,23.9,23.46191,training,736
v_9g1omTdpoYs,3123,125.02,25.0,24.89202,training,3112
v_UomiLRs--C8,1602,53.73,29.8,29.62963,training,1592
v_cwhkG3LhZO8,5015,209.26,24.0,23.89372,training,5000
v_dojDT4CtenU,1921,76.98,25.0,24.83762,training,1912
v_b8S0HFHh_p0,5619,187.43,30.0,29.92050,training,5608
v_HdNOiIdGqvE,1712,71.50,23.9,23.72028,training,1696
v_f7qFnCkFIuQ,1031,34.55,29.8,29.40666,training,1016
v_dUa0E0ASviM,2760,92.23,29.9,29.75171,training,2744
v_CLbEvGHmK8k,5243,175.03,30.0,29.89202,training,5232
v_07GFy_Z7Nuc,1799,60.16,29.9,29.65426,training,1784
v_nyEcPLZQerc,2589,86.38,30.0,29.82172,training,2576
v_yfeKtTU0aOE,983,41.10,23.9,23.55231,training,968
v_NKNgAE07TIQ,5070,169.25,30.0,29.87297,training,5056
v_l5xW6UZWwBs,2629,87.82,29.9,29.78820,training,2616
v_XoCvj2IbVGE,5540,221.73,25.0,24.93122,training,5528
v_xIU6DO35R_c,808,32.46,24.9,24.39926,training,792
v_8oI4xGqkzSE,6117,205.01,29.8,29.77416,training,6104
v_qi_6u0mMJQM,5160,172.13,30.0,29.88439,training,5144
v_9eqfQyr3J7k,755,26.43,28.6,28.14983,training,744
v_23-lat1nVJg,251,10.15,24.7,23.64532,training,240
v_Ffi7vDa3C2I,5001,200.27,25.0,24.92635,training,4992
v_dmiLuqRB09U,1700,68.15,24.9,24.76889,training,1688
v_KGIDKn3t2Qk,5648,188.64,29.9,29.85581,training,5632
v_WhEdTfs7U5E,4263,142.36,29.9,29.83984,training,4248
v_0-F3q8Aj9Zk,6213,207.40,30.0,29.89392,training,6200
v_9rW35YTKYq8,5677,236.98,24.0,23.90075,training,5664
v_NwfosNrFnwk,3187,127.62,25.0,24.88638,training,3176
v_jwqotL-yNvE,4030,168.18,24.0,23.87918,training,4016
v_cCYLiE1fiEo,5083,203.45,25.0,24.92996,training,5072
v_ns8v94HCtlM,2143,71.59,29.9,29.72482,training,2128
v_r9AepFEEfsQ,1782,59.58,29.9,29.67439,training,1768
v_zW_8T8w7304,5984,199.55,30.0,29.90729,training,5968
v_poFH53rF9uY,3925,131.05,30.0,29.85120,training,3912
v_Ch_qHjUtOpE,659,22.06,29.9,29.37443,training,648
v_0acEl97ZBME,3077,102.75,29.9,29.81995,training,3064
v_Uo9q4riquHM,3079,102.86,29.9,29.78806,training,3064
v_-5h2E52tl4Q,2860,114.52,25.0,24.86902,training,2848
v_-HaFSqzE4Nc,1602,53.52,29.9,29.74589,training,1592
v_Hxb8D4W-G0I,4651,186.13,25.0,24.92881,training,4640
v_a0hFDXB1RgY,3416,114.17,29.9,29.78015,training,3400
v_8cKjwHtCGU0,2446,81.71,29.9,29.76380,training,2432
v_PQ-qpoPeqM0,4578,191.12,24.0,23.90121,training,4568
v_0rDb-zfhH0E,6024,201.09,30.0,29.87717,training,6008
v_SvM0twHYsus,538,49.25,10.9,10.72081,training,528
v_qS7TStZg_5c,172,11.66,14.8,13.72213,training,160
v_slUvIngXl4g,2135,85.50,25.0,24.79532,training,2120
v_YptHsVTHquc,5105,170.48,29.9,29.89207,training,5096
v_bV_X5E1-T50,2623,175.06,15.0,14.89775,training,2608
v_3K62qZ2hGyw,3856,128.62,30.0,29.85539,training,3840
v_jIKAVLlyXIQ,412,13.86,29.7,28.86003,training,400
v_6iuD3pSgBcw,12473,208.21,59.9,59.86264,training,12464
v_l8TsSm4Yh4M,4093,163.82,25.0,24.90538,training,4080
v_1dFLeGRT0NQ,4544,151.76,29.9,29.83658,training,4528
v_wkJWeSw8FSE,625,20.95,29.8,29.40334,training,616
v_mbmMY04yMUA,4043,135.00,29.9,29.86667,training,4032
v_J4vq7MLMAtY,4484,149.56,30.0,29.90104,training,4472
v_JGStyHrlN2U,1005,40.33,24.9,24.59707,training,992
v_WaWkDf6b_j4,2042,85.20,24.0,23.84977,training,2032
v_XuwqWdp-u2M,1034,41.45,24.9,24.70446,training,1024
v_WXQol1TisqE,1813,60.58,29.9,29.71278,training,1800
v_cMeKc9mp9wI,1619,54.20,29.9,29.66790,training,1608
v_7hRls13HJow,3310,132.54,25.0,24.86796,training,3296
v_R52e9UAE60k,2321,77.58,29.9,29.80150,training,2312
v_0FTaJwbFdZI,5088,203.66,25.0,24.90425,training,5072
v_STgbw-zqZJM,447,27.52,16.2,15.69767,training,432
v_2gc7pCOg-NE,4662,155.57,30.0,29.87723,training,4648
v_UAgb3FEjBN8,7018,234.10,30.0,29.93592,training,7008
v_uOmCwWVJnLQ,3102,107.09,29.0,28.83556,training,3088
v_ki2kGFwczMg,2099,70.19,29.9,29.74783,training,2088
v_MEbEcvzdytY,5212,174.03,29.9,29.87991,training,5200
v_hQ4xkr6VpnA,2384,99.54,24.0,23.78943,training,2368
v_30y8Uy0B_uk,4139,172.66,24.0,23.90826,training,4128
v_1Cdqwg7Giv4,5580,186.36,29.9,29.87766,training,5568
v_7Lkcan0X5VA,3661,146.59,25.0,24.88574,training,3648
v_r8RJSDKy9iA,2611,98.92,26.4,26.28387,training,2600
v_zDPsJ3ECaTI,6633,221.40,30.0,29.91870,training,6624
v_YJ4ynq5Adg0,3618,120.81,29.9,29.86508,training,3608
v_qm1dudWLlUg,911,18.30,49.8,48.96175,training,896
v_F2Igw6lvqwk,1181,49.39,23.9,23.64851,training,1168
v_wxoe1M2L4Qo,5191,216.39,24.0,23.91977,training,5176
v_eAOBdYKju70,5119,170.92,29.9,29.86192,training,5104
v_Bhz-WgJH8R0,1055,42.35,24.9,24.55726,training,1040
v_bkRQgwbP0WM,862,34.62,24.9,24.49451,training,848
v_bx5ZHOUG-nI,1795,119.82,15.0,14.88900,training,1784
v_e5e16U5hnzY,4531,151.28,30.0,29.87837,training,4520
v_4rKTw99bM8g,284,9.57,29.7,28.42215,training,272
v_kqVIHq94kgs,2306,76.95,30.0,29.83756,training,2296
v_KptXzRFIvTw,4327,144.47,30.0,29.84703,training,4312
v_axoyB4pypWY,4160,138.90,29.9,29.83441,training,4144
v_a50gTER-FsQ,6335,211.49,30.0,29.88321,training,6320
v_fGDVlbI90pw,184,10.89,16.9,15.42700,training,168
v_qcYRPEEitZU,1137,38.04,29.9,29.65300,training,1128
v_zpJ91CkCiyw,3253,135.65,24.0,23.88500,training,3240
v_ILgkiTHnGVI,1802,60.26,29.9,29.73780,training,1792
v_wjD2BdbSb1o,2740,91.49,29.9,29.81747,training,2728
v_KKrHX-pywBQ,5795,193.45,30.0,29.89920,training,5784
v_y-HkIwa-jWM,415,41.75,9.9,9.58084,training,400
v_GuzLtwhxsxA,3366,112.36,30.0,29.83268,training,3352
v_72F30o9V8v0,6089,203.36,29.9,29.89772,training,6080
v_M1_4oDuh2as,896,59.86,15.0,14.70097,training,880
v_gtd2Ye-raxE,1698,68.06,24.9,24.80165,training,1688
v_b5E7-GxvCdk,568,19.09,29.8,28.91566,training,552
v_xFqGY-y4OUg,5593,186.71,30.0,29.90734,training,5584
v_lhnhGI-rrzM,5414,180.77,29.9,29.87221,training,5400
v_HNIs8lFvKkA,6621,221.08,29.9,29.88963,training,6608
v_A6DBt7UgWEg,6248,208.56,30.0,29.88109,training,6232
v_9lX18LyTuAQ,6147,205.31,29.9,29.88651,training,6136
v_ihMn28mft2s,3776,126.11,29.9,29.81524,training,3760
v_QvM8SFUUvsw,846,28.28,29.9,29.42008,training,832
v_qRFZMO_mTGU,3437,114.78,29.9,29.83098,training,3424
v_exzuzQLrv7g,5889,196.40,30.0,29.93890,training,5880
v_3HBAcaU552I,3714,123.93,30.0,29.88784,training,3704
v_wOwWidUOaxc,2196,73.28,30.0,29.80349,training,2184
v_kMYZWwZXx3E,1808,60.31,30.0,29.71315,training,1792
v_rFx-j3NhSgI,1395,69.92,20.0,19.79405,training,1384
v_BC1ZIeZvFXw,7035,117.45,59.9,59.80417,training,7024
v_dfex2oZYqmU,2413,80.64,29.9,29.76190,training,2400
v_ikHGZpkhfNc,6381,213.02,30.0,29.89391,training,6368
v_v1FHFQ1UZHw,3937,164.35,24.0,23.90021,training,3928
v_6iA4RXGAR_k,1918,64.06,29.9,29.72214,training,1904
v_YU0DjX7wvRA,3444,114.89,30.0,29.87205,training,3432
v_xfyoEDb6kVg,3923,130.89,30.0,29.88769,training,3912
v_UO9bRJmfMzI,6460,215.64,30.0,29.90169,training,6448
v_clUgEizjVkM,576,23.17,24.9,24.16918,training,560
v_cz20Wqx9d4Q,4486,149.79,29.9,29.85513,training,4472
v_95L-8JtlwRU,3784,126.39,29.9,29.81249,training,3768
v_hJn5L1nrkL4,2116,70.73,29.9,29.74692,training,2104
v_aFpWNTroghs,2789,93.16,29.9,29.79820,training,2776
v_xAI1y9izXOM,1225,40.96,29.9,29.68750,training,1216
v_hhN1647pP88,3899,195.12,20.0,19.92620,training,3888
v_tjuYS-6UC_M,5021,167.46,30.0,29.90565,training,5008
v_WY9zvUkK_4Y,6105,203.59,30.0,29.94253,training,6096
v_CUtkQIV2eto,6195,206.84,30.0,29.89751,training,6184
v_ZoKZTceDTLA,4946,165.00,30.0,29.91515,training,4936
v_Sn8IRyUFNac,1111,37.20,29.9,29.46237,training,1096
v_QJmoA3byOzo,5681,189.50,30.0,29.93140,training,5672
v_UD4RnQp5tPY,6602,220.38,30.0,29.91197,training,6592
v_mOVPZhGyUrs,2032,67.87,29.9,29.70385,training,2016
v_vOpFUVofoM4,2094,70.01,29.9,29.71004,training,2080
v_-wFNUGYf298,5599,224.10,25.0,24.91745,training,5584
v_xeOHoiH-dmo,5581,186.36,29.9,29.87766,training,5568
v_HtZ0bvriAvQ,964,64.44,15.0,14.77343,training,952
v_3xmgPNrmUYM,1687,56.43,29.9,29.62963,training,1672
v_eaFvnf8IF-I,2000,66.78,29.9,29.70949,training,1984
v__ekWWP0dQZM,4369,145.87,30.0,29.88963,training,4360
v_YAbfhT3fhac,2248,75.07,29.9,29.73225,training,2232
v_9nh_6Hzg_aw,5776,192.82,30.0,29.87242,training,5760
v_d8MgSp3oCoA,2094,69.94,29.9,29.73978,training,2080
v_mnS-nMZne3I,273,9.22,29.6,28.63341,training,264
v_x4qwV0Ti1Og,1728,57.75,29.9,29.64502,training,1712
v_AXDa8WmY2og,6857,228.88,30.0,29.91961,training,6848
v_5LveCNjz_zg,4838,161.52,30.0,29.86627,training,4824
v_F-jZv4hqYds,1126,37.64,29.9,29.54304,training,1112
v_79LyHiS908U,2105,87.93,23.9,23.83714,training,2096
v_p4YTDxTASBI,1008,33.76,29.9,29.38389,training,992
v_2uMG44uNDJ8,207,7.08,29.2,27.11864,training,192
v_TQepyWudKYQ,947,31.70,29.9,29.52681,training,936
v_SMhW9V-cJsQ,821,27.49,29.9,29.39251,training,808
v_nr34x_-K5c0,4634,154.55,30.0,29.91912,training,4624
v_8M_RipfsJI8,943,63.00,15.0,14.73016,training,928
v_LLLuBjEVHI8,673,45.07,14.9,14.73264,training,664
v_1GXQLnTalcg,3294,110.04,29.9,29.80734,training,3280
v_yNmV_c3rlLA,2315,77.32,29.9,29.79824,training,2304
v_iL__89eDRzg,1070,89.40,12.0,11.81208,training,1056
v_pZzTMUJG9Rk,5127,214.21,23.9,23.86443,training,5112
v_h4m7bYDVLAc,744,24.92,29.9,29.21348,training,728
v_KEUJ7ulD-_A,5751,230.18,25.0,24.91963,training,5736
v_xfThpRE6bLc,4979,207.56,24.0,23.93525,training,4968
v_Mk9n7isIyBs,3405,136.32,25.0,24.88263,training,3392
v_3xEonDbWxTM,3248,108.46,29.9,29.79900,training,3232
v_loYCYGQpGRw,5056,168.83,29.9,29.85251,training,5040
v_wZgSzWl5Hgg,1555,103.79,15.0,14.87619,training,1544
v_FL9yhHtoc6c,6609,220.64,30.0,29.91298,training,6600
v_V1NtrnPz3sA,1975,79.13,25.0,24.76937,training,1960
v_r5oPTDuHhoE,1234,41.31,29.9,29.62963,training,1224
v_KwY8nf4MqR4,1014,33.93,29.9,29.47244,training,1000
v_Q43BuVI2r-s,2512,83.92,29.9,29.74261,training,2496
v_S2MHi_oC3Lg,5428,217.29,25.0,24.92522,training,5416
v_CYj2ltxPNDo,5700,190.10,30.0,29.92109,training,5688
v_NO5J7RjTTTo,433,43.56,9.9,9.73370,training,424
v_modITAJlP_0,2094,69.96,29.9,29.73128,training,2080
v_H8K1E49607E,2900,97.39,29.8,29.65397,training,2888
v_FeXBmKYV8HY,4807,160.80,29.9,29.80100,training,4792
v_tRatWgaZ-a0,662,22.15,29.9,29.25508,training,648
v_vNyXwHA_k5A,8878,148.35,59.8,59.75059,training,8864
v_UeH0TCDAbSU,4167,139.18,29.9,29.83187,training,4152
v_4XavNhCs-Do,3214,134.14,24.0,23.85567,training,3200
v_0vJfctL116Y,3549,148.12,24.0,23.87254,training,3536
v_EsYsshh2CyA,2061,68.89,29.9,29.72855,training,2048
v_zSCZphJS2vA,2420,96.94,25.0,24.84011,training,2408
v_8yFimnZ8XhA,1799,60.12,29.9,29.67399,training,1784
v_u3nOmvgcs84,5189,173.06,30.0,29.90870,training,5176
v_9DIDpTlfBWs,4072,163.03,25.0,24.87886,training,4056
v_CsCbJSnAhRs,2602,86.94,29.9,29.81366,training,2592
v_0gm_g4rYCic,3587,143.57,25.0,24.90771,training,3576
